gene	cell_type	n_ad_with_reads	n_ct_with_reads	n_ad_total	n_ct_total	jackknife_max_change_ratio	jackknife_worst_donor	direction_consistency	dominant_isoform	verdict	note
SLC6A15	Excitatory_neuron	12	6	13	8	1.2205	SMC032	0.5	SLC6A15-201	FAIL	Jackknife 1.22 ≥ 0.5; Direction 0.50 < 0.6
SLC6A6	Excitatory_neuron	9	8	13	8	0.168	SMC038	0.5556	SLC6A6-207	FAIL	Direction 0.56 < 0.6
SLC6A7	Excitatory_neuron	9	7	13	8	0.869	SMC041	0.2222	transcript206301.chr5.nnic	FAIL	Jackknife 0.87 ≥ 0.5; Direction 0.22 < 0.6
SLC8A1	Excitatory_neuron	11	8	13	8	0.0304	PO41	0.8182	SLC8A1-202	PASS	
SLC9A3-AS1	Excitatory_neuron	12	7	13	8	0.158	SMC049	0.9167	transcript147.chr5.nnic	PASS	
SLC9A5	Excitatory_neuron	8	4	13	8	1.1262	SMC036	0.375	transcript103199.chr16.nnic	FAIL	Jackknife 1.13 ≥ 0.5; Direction 0.38 < 0.6
SLC9A6	Excitatory_neuron	9	5	13	8	1.0688	SMC049	0.1111	SLC9A6-210	FAIL	Jackknife 1.07 ≥ 0.5; Direction 0.11 < 0.6
SLCO4A1	Excitatory_neuron	6	6	13	8	0.2769	PO28	0.6667	SLCO4A1-201	PASS	
SLF2	Excitatory_neuron	13	8	13	8	1.761	PO41	0.1538	SLF2-206	FAIL	Jackknife 1.76 ≥ 0.5; Direction 0.15 < 0.6
SLIT2	Excitatory_neuron	10	7	13	8	0.3829	SMC049	0.7	SLIT2-204	PASS	
SLIT3	Excitatory_neuron	12	8	13	8	1.0021	SMC038	0.1667	transcript228426.chr5.nic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.17 < 0.6
SLITRK2	Excitatory_neuron	12	7	13	8	0.2436	SMC032	0.5833	SLITRK2-201	FAIL	Direction 0.58 < 0.6
SLITRK4	Excitatory_neuron	11	8	13	8	0.3882	SMC038	0.6364	SLITRK4-202	PASS	
SLMAP	Excitatory_neuron	8	5	13	8	0.0626	PO28	1.0	SLMAP-229	PASS	
SLTM	Excitatory_neuron	13	8	13	8	0.055	PO41	0.9231	transcript76883.chr15.nic	PASS	
SMAD1	Excitatory_neuron	11	7	13	8	0.3418	SMC049	0.5455	transcript181924.chr4.nic	FAIL	Direction 0.55 < 0.6
SMAD2	Excitatory_neuron	10	7	13	8	0.3797	PO28	0.6	SMAD2-203	PASS	
SMAD4	Excitatory_neuron	8	4	13	8	0.1065	SMC032	0.875	SMAD4-212	PASS	
SMARCA1	Excitatory_neuron	13	8	13	8	0.2072	SMC038	0.8462	SMARCA1-203	PASS	
SMARCA4	Excitatory_neuron	11	7	13	8	0.1955	SMC041	0.5455	SMARCA4-201	FAIL	Direction 0.55 < 0.6
SMARCAD1	Excitatory_neuron	12	8	13	8	0.059	PO05	0.8333	transcript139310.chr4.nic	PASS	
SMARCAL1	Excitatory_neuron	9	7	13	8	0.1076	SMC032	0.6667	SMARCAL1-202	PASS	
SMARCD2	Excitatory_neuron	10	5	13	8	0.8629	SMC041	0.3	SMARCD2-213	FAIL	Jackknife 0.86 ≥ 0.5; Direction 0.30 < 0.6
SMARCE1	Excitatory_neuron	12	8	13	8	0.225	SMC038	0.5833	SMARCE1-250	FAIL	Direction 0.58 < 0.6
SMC1A	Excitatory_neuron	13	8	13	8	0.1186	SMC049	0.7692	SMC1A-202	PASS	
SMC2	Excitatory_neuron	10	8	13	8	0.3607	PO11	0.5	SMC2-203	FAIL	Direction 0.50 < 0.6
SMC3	Excitatory_neuron	12	8	13	8	0.2617	PO28	0.4167	SMC3-201	FAIL	Direction 0.42 < 0.6
SMC6	Excitatory_neuron	9	7	13	8	0.4591	SMC049	0.6667	SMC6-201	PASS	
SMG1	Excitatory_neuron	13	8	13	8	0.385	SMC036	0.4615	SMG1-207	FAIL	Direction 0.46 < 0.6
SMG7	Excitatory_neuron	9	6	13	8	0.2541	PO11	0.7778	SMG7-212	PASS	
SMG8	Excitatory_neuron	8	5	13	8	0.5909	PO28	0.75	SMG8-202	FAIL	Jackknife 0.59 ≥ 0.5
SMIM12	Excitatory_neuron	10	7	13	8	0.2186	PO28	0.8	transcript62157.chr1.nnic	PASS	
SMIM13	Excitatory_neuron	4	6	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=4/5, CT=6/4
SMIM7	Excitatory_neuron	11	7	13	8	0.2988	SMC049	0.7273	SMIM7-208	PASS	
SMPD4	Excitatory_neuron	7	6	13	8	0.5586	SMC038	0.2857	SMPD4-219	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.29 < 0.6
SMUG1	Excitatory_neuron	9	5	13	8	0.5627	SMC049	0.5556	SMUG1-202	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.56 < 0.6
SMYD2	Excitatory_neuron	7	7	13	8	0.8903	SMC049	0.5714	SMYD2-201	FAIL	Jackknife 0.89 ≥ 0.5; Direction 0.57 < 0.6
SMYD4	Excitatory_neuron	11	7	13	8	0.3697	SMC038	0.5455	SMYD4-203	FAIL	Direction 0.55 < 0.6
SNAI3-AS1	Excitatory_neuron	9	5	13	8	0.9429	SMC039	0.2222	transcript137602.chr16.nic	FAIL	Jackknife 0.94 ≥ 0.5; Direction 0.22 < 0.6
SNAP25	Excitatory_neuron	13	8	13	8	1.09	SMC049	0.2308	SNAP25-201	FAIL	Jackknife 1.09 ≥ 0.5; Direction 0.23 < 0.6
SNAP25-AS1	Excitatory_neuron	6	6	13	8	1.0	SMC032	0.1667	SNAP25-AS1-217	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.17 < 0.6
SNAP47	Excitatory_neuron	11	7	13	8	1.5991	SMC049	0.4545	SNAP47-222	FAIL	Jackknife 1.60 ≥ 0.5; Direction 0.45 < 0.6
SNAP91	Excitatory_neuron	9	7	13	8	1.2105	SMC049	0.4444	SNAP91-205	FAIL	Jackknife 1.21 ≥ 0.5; Direction 0.44 < 0.6
SNAPC1	Excitatory_neuron	8	7	13	8	0.1227	SMC038	0.875	SNAPC1-201	PASS	
SNAPC3	Excitatory_neuron	11	6	13	8	0.7435	SMC049	0.4545	SNAPC3-206	FAIL	Jackknife 0.74 ≥ 0.5; Direction 0.45 < 0.6
SNHG10	Excitatory_neuron	12	7	13	8	0.3637	SMC049	0.9167	transcript111459.chr14.nnic	PASS	
SNHG14	Excitatory_neuron	13	8	13	8	0.105	PO28	0.8462	SNHG14-208	PASS	
SNHG15	Excitatory_neuron	9	5	13	8	0.7814	SMC049	0.2222	SNHG15-214	FAIL	Jackknife 0.78 ≥ 0.5; Direction 0.22 < 0.6
SNHG28	Excitatory_neuron	10	7	13	8	0.2384	SMC038	0.7	SNHG28-219	PASS	
SNHG29	Excitatory_neuron	12	7	13	8	1.1259	SMC049	0.0833	SNHG29-232	FAIL	Jackknife 1.13 ≥ 0.5; Direction 0.08 < 0.6
SNHG5	Excitatory_neuron	12	8	13	8	0.3509	PO41	0.5833	SNHG5-235	FAIL	Direction 0.58 < 0.6
SNHG7	Excitatory_neuron	9	5	13	8	1.0	SMC049	0.2222	SNHG7-205	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.22 < 0.6
SNIP1	Excitatory_neuron	11	7	13	8	0.979	SMC049	0.3636	SNIP1-204	FAIL	Jackknife 0.98 ≥ 0.5; Direction 0.36 < 0.6
SNPH	Excitatory_neuron	6	6	13	8	0.881	SMC041	0.5	SNPH-201	FAIL	Jackknife 0.88 ≥ 0.5; Direction 0.50 < 0.6
SNRK	Excitatory_neuron	7	6	13	8	0.4118	SMC038	0.7143	SNRK-204	PASS	
SNRNP200	Excitatory_neuron	12	8	13	8	0.6805	SMC041	0.5833	SNRNP200-201	FAIL	Jackknife 0.68 ≥ 0.5; Direction 0.58 < 0.6
SNRNP70	Excitatory_neuron	13	8	13	8	0.2516	SMC038	0.4615	SNRNP70-206	FAIL	Direction 0.46 < 0.6
SNRPA	Excitatory_neuron	10	8	13	8	0.334	SMC049	0.9	transcript112270.chr19.nic	PASS	
SNRPB	Excitatory_neuron	10	7	13	8	0.1308	SMC049	0.7	SNRPB-201	PASS	
SNTG1	Excitatory_neuron	10	7	13	8	1.0	PO41	0.1	SNTG1-215	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.10 < 0.6
SNW1	Excitatory_neuron	13	8	13	8	0.4084	PO11	0.3077	transcript86069.chr14.nnic	FAIL	Direction 0.31 < 0.6
SNX13	Excitatory_neuron	13	8	13	8	0.8849	SMC049	0.3846	SNX13-203	FAIL	Jackknife 0.88 ≥ 0.5; Direction 0.38 < 0.6
SNX14	Excitatory_neuron	10	7	13	8	0.0589	PO05	0.9	SNX14-245	PASS	
SNX16	Excitatory_neuron	8	7	13	8	0.8812	SMC049	0.625	transcript127660.chr8.nic	FAIL	Jackknife 0.88 ≥ 0.5
SNX17	Excitatory_neuron	11	7	13	8	0.1859	SMC038	0.0	SNX17-201	FAIL	Direction 0.00 < 0.6
SNX19	Excitatory_neuron	12	8	13	8	0.8751	SMC038	0.4167	transcript200475.chr11.nnic	FAIL	Jackknife 0.88 ≥ 0.5; Direction 0.42 < 0.6
SNX21	Excitatory_neuron	10	7	13	8	0.5341	SMC049	0.6	SNX21-202	FAIL	Jackknife 0.53 ≥ 0.5
SNX27	Excitatory_neuron	11	8	13	8	0.2531	SMC049	0.6364	SNX27-203	PASS	
SNX5	Excitatory_neuron	12	8	13	8	0.5429	SMC049	0.4167	SNX5-201	FAIL	Jackknife 0.54 ≥ 0.5; Direction 0.42 < 0.6
SNX9	Excitatory_neuron	10	8	13	8	0.1453	SMC049	0.6	SNX9-216	PASS	
SOBP	Excitatory_neuron	12	8	13	8	0.399	SMC049	0.5	transcript150492.chr6.nnic	FAIL	Direction 0.50 < 0.6
SOCS4	Excitatory_neuron	12	7	13	8	0.4618	PO28	0.5	SOCS4-202	FAIL	Direction 0.50 < 0.6
SOGA3	Excitatory_neuron	12	8	13	8	0.2459	SMC049	0.6667	SOGA3-203	PASS	
SON	Excitatory_neuron	11	7	13	8	0.2549	PO28	0.3636	SON-202	FAIL	Direction 0.36 < 0.6
SORBS1	Excitatory_neuron	13	8	13	8	0.1216	PO05	0.7692	SORBS1-219	PASS	
SORBS2	Excitatory_neuron	11	8	13	8	0.4507	PO05	0.7273	SORBS2-269	PASS	
SORCS1	Excitatory_neuron	11	8	13	8	0.5602	SMC041	0.3636	SORCS1-201	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.36 < 0.6
SORT1	Excitatory_neuron	9	7	13	8	0.3537	SMC049	0.8889	SORT1-201	PASS	
SOX2-OT	Excitatory_neuron	12	8	13	8	0.3619	SMC038	0.5833	SOX2-OT-225	FAIL	Direction 0.58 < 0.6
SOX5	Excitatory_neuron	9	6	13	8	0.0778	PO28	0.7778	SOX5-213	PASS	
SPAG16	Excitatory_neuron	10	8	13	8	0.1079	SMC038	0.7	transcript376750.chr2.nnic	PASS	
SPART	Excitatory_neuron	13	7	13	8	0.2613	SMC049	0.4615	SPART-202	FAIL	Direction 0.46 < 0.6
SPATA13	Excitatory_neuron	7	7	13	8	0.1194	SMC039	0.8571	SPATA13-203	PASS	
SPATA20	Excitatory_neuron	11	8	13	8	0.2185	SMC041	0.6364	SPATA20-205	PASS	
SPATA33	Excitatory_neuron	8	8	13	8	0.2778	SMC049	0.875	SPATA33-201	PASS	
SPATA5L1	Excitatory_neuron	7	5	13	8	0.8035	SMC049	0.2857	SPATA5L1-204	FAIL	Jackknife 0.80 ≥ 0.5; Direction 0.29 < 0.6
SPATA7	Excitatory_neuron	11	8	13	8	1.2314	SMC049	0.3636	SPATA7-203	FAIL	Jackknife 1.23 ≥ 0.5; Direction 0.36 < 0.6
SPATC1L	Excitatory_neuron	12	7	13	8	0.2992	SMC049	0.6667	transcript48560.chr21.nic	PASS	
SPATS2	Excitatory_neuron	9	8	13	8	0.0281	SMC049	1.0	SPATS2-201	PASS	
SPATS2L	Excitatory_neuron	12	7	13	8	0.0984	SMC049	0.6667	SPATS2L-204	PASS	
SPCS3	Excitatory_neuron	12	8	13	8	0.1357	SMC049	1.0	SPCS3-203	PASS	
SPDL1	Excitatory_neuron	10	7	13	8	0.0		1.0	SPDL1-206	PASS	
SPECC1	Excitatory_neuron	13	8	13	8	0.3839	SMC049	0.6154	SPECC1-231	PASS	
SPECC1L	Excitatory_neuron	13	8	13	8	0.338	SMC039	0.6154	SPECC1L-201	PASS	
SPEF1	Excitatory_neuron	5	5	13	8	0.0804	SMC049	1.0	SPEF1-201	PASS	
SPEF2	Excitatory_neuron	9	7	13	8	0.4222	PO41	0.8889	SPEF2-216	PASS	
SPEN	Excitatory_neuron	12	8	13	8	0.3892	PO28	0.5833	SPEN-201	FAIL	Direction 0.58 < 0.6
SPG11	Excitatory_neuron	10	8	13	8	0.2632	PO41	0.5	SPG11-241	FAIL	Direction 0.50 < 0.6
SPG7	Excitatory_neuron	13	8	13	8	0.3255	SMC038	0.6923	SPG7-268	PASS	
SPHKAP	Excitatory_neuron	9	6	13	8	0.5214	PO42	0.7778	SPHKAP-201	FAIL	Jackknife 0.52 ≥ 0.5
SPICE1	Excitatory_neuron	9	8	13	8	0.0342	PO41	1.0	SPICE1-201	PASS	
SPIDR	Excitatory_neuron	11	8	13	8	0.4259	SMC032	0.5455	SPIDR-225	FAIL	Direction 0.55 < 0.6
SPIN3	Excitatory_neuron	12	7	13	8	0.2201	PO41	0.6667	SPIN3-201	PASS	
SPNS1	Excitatory_neuron	8	7	13	8	0.3583	SMC049	0.875	SPNS1-212	PASS	
SPOCK2	Excitatory_neuron	6	6	13	8	0.6304	SMC041	0.8333	transcript128892.chr10.nnic	FAIL	Jackknife 0.63 ≥ 0.5
SPOCK3	Excitatory_neuron	12	7	13	8	1.4376	SMC049	0.5833	SPOCK3-201	FAIL	Jackknife 1.44 ≥ 0.5; Direction 0.58 < 0.6
SPON1	Excitatory_neuron	8	7	13	8	0.1144	PO28	0.875	transcript21666.chr11.nic	PASS	
SPOP	Excitatory_neuron	12	7	13	8	0.5059	SMC049	0.3333	SPOP-206	FAIL	Jackknife 0.51 ≥ 0.5; Direction 0.33 < 0.6
SPP1	Excitatory_neuron	11	8	13	8	0.5643	SMC036	0.6364	SPP1-203	FAIL	Jackknife 0.56 ≥ 0.5
SPPL2A	Excitatory_neuron	8	7	13	8	0.3549	SMC049	0.875	SPPL2A-201	PASS	
SPSB3	Excitatory_neuron	12	8	13	8	0.2502	SMC049	0.3333	SPSB3-209	FAIL	Direction 0.33 < 0.6
SPTAN1	Excitatory_neuron	13	8	13	8	0.6376	PO05	0.4615	SPTAN1-228	FAIL	Jackknife 0.64 ≥ 0.5; Direction 0.46 < 0.6
SPTBN1	Excitatory_neuron	13	8	13	8	1.9227	PO28	0.3846	SPTBN1-202	FAIL	Jackknife 1.92 ≥ 0.5; Direction 0.38 < 0.6
SPTBN4	Excitatory_neuron	13	8	13	8	1.0167	SMC049	0.5385	transcript110943.chr19.nnic	FAIL	Jackknife 1.02 ≥ 0.5; Direction 0.54 < 0.6
SPTY2D1	Excitatory_neuron	12	8	13	8	0.5252	SMC049	0.4167	SPTY2D1-201	FAIL	Jackknife 0.53 ≥ 0.5; Direction 0.42 < 0.6
SQSTM1	Excitatory_neuron	12	8	13	8	0.711	SMC049	0.4167	SQSTM1-201	FAIL	Jackknife 0.71 ≥ 0.5; Direction 0.42 < 0.6
SRCAP	Excitatory_neuron	12	8	13	8	0.5013	SMC038	0.3333	SRCAP-202	FAIL	Jackknife 0.50 ≥ 0.5; Direction 0.33 < 0.6
SREBF2	Excitatory_neuron	9	7	13	8	0.0		1.0	SREBF2-209	PASS	
SREK1	Excitatory_neuron	12	8	13	8	0.42	SMC049	0.4167	SREK1-212	FAIL	Direction 0.42 < 0.6
SRGAP2	Excitatory_neuron	11	8	13	8	0.5218	SMC049	0.4545	SRGAP2-215	FAIL	Jackknife 0.52 ≥ 0.5; Direction 0.45 < 0.6
SRGAP3	Excitatory_neuron	13	8	13	8	0.6563	SMC038	0.6154	SRGAP3-202	FAIL	Jackknife 0.66 ≥ 0.5
SRP19	Excitatory_neuron	9	5	13	8	0.0735	SMC049	0.8889	SRP19-208	PASS	
SRPK2	Excitatory_neuron	13	8	13	8	0.3706	SMC049	0.4615	SRPK2-211	FAIL	Direction 0.46 < 0.6
SRRM1	Excitatory_neuron	13	8	13	8	0.4814	SMC032	0.4615	SRRM1-204	FAIL	Direction 0.46 < 0.6
SRRM2	Excitatory_neuron	13	8	13	8	0.7374	SMC049	0.5385	SRRM2-226	FAIL	Jackknife 0.74 ≥ 0.5; Direction 0.54 < 0.6
SRRM4	Excitatory_neuron	12	8	13	8	1.0352	PO42	0.25	SRRM4-201	FAIL	Jackknife 1.04 ≥ 0.5; Direction 0.25 < 0.6
SRRT	Excitatory_neuron	9	7	13	8	0.7286	SMC038	0.5556	SRRT-216	FAIL	Jackknife 0.73 ≥ 0.5; Direction 0.56 < 0.6
SRSF10	Excitatory_neuron	11	8	13	8	0.2044	SMC038	0.7273	SRSF10-202	PASS	
SRSF11	Excitatory_neuron	13	8	13	8	1.0667	SMC049	0.6154	SRSF11-214	FAIL	Jackknife 1.07 ≥ 0.5
SRSF2	Excitatory_neuron	13	8	13	8	1.159	SMC049	0.3077	SRSF2-203	FAIL	Jackknife 1.16 ≥ 0.5; Direction 0.31 < 0.6
SRSF3	Excitatory_neuron	12	8	13	8	0.0384	PO28	0.9167	SRSF3-207	PASS	
SRSF5	Excitatory_neuron	12	8	13	8	0.2582	SMC049	0.5833	SRSF5-207	FAIL	Direction 0.58 < 0.6
SRSF7	Excitatory_neuron	12	8	13	8	0.1282	PO42	0.4167	SRSF7-208	FAIL	Direction 0.42 < 0.6
SSBP2	Excitatory_neuron	11	6	13	8	1.8968	SMC049	0.6364	SSBP2-201	FAIL	Jackknife 1.90 ≥ 0.5
SSR1	Excitatory_neuron	13	7	13	8	0.2514	SMC049	0.6923	SSR1-204	PASS	
SSRP1	Excitatory_neuron	9	8	13	8	1.1605	SMC049	0.4444	SSRP1-202	FAIL	Jackknife 1.16 ≥ 0.5; Direction 0.44 < 0.6
SSU72	Excitatory_neuron	13	8	13	8	0.5281	SMC049	0.6923	SSU72-202	FAIL	Jackknife 0.53 ≥ 0.5
SSX2IP	Excitatory_neuron	13	8	13	8	0.0983	PO41	0.9231	SSX2IP-203	PASS	
ST3GAL1	Excitatory_neuron	7	4	13	8	3.3759	SMC038	0.1429	ST3GAL1-210	FAIL	Jackknife 3.38 ≥ 0.5; Direction 0.14 < 0.6
ST3GAL3	Excitatory_neuron	11	8	13	8	0.1506	SMC049	0.9091	ST3GAL3-277	PASS	
ST3GAL5	Excitatory_neuron	11	8	13	8	0.2766	SMC038	0.9091	ST3GAL5-239	PASS	
ST6GAL2	Excitatory_neuron	6	6	13	8	0.0		1.0	ST6GAL2-204	PASS	
ST6GALNAC5	Excitatory_neuron	10	8	13	8	1.1804	PO41	0.7	ST6GALNAC5-202	FAIL	Jackknife 1.18 ≥ 0.5
ST6GALNAC6	Excitatory_neuron	11	8	13	8	0.6496	SMC039	0.5455	ST6GALNAC6-201	FAIL	Jackknife 0.65 ≥ 0.5; Direction 0.55 < 0.6
ST8SIA1	Excitatory_neuron	10	6	13	8	0.5075	PO28	0.3	ST8SIA1-203	FAIL	Jackknife 0.51 ≥ 0.5; Direction 0.30 < 0.6
ST8SIA5	Excitatory_neuron	8	8	13	8	0.2749	SMC049	0.5	ST8SIA5-203	FAIL	Direction 0.50 < 0.6
STAG1	Excitatory_neuron	8	7	13	8	0.068	PO11	1.0	STAG1-203	PASS	
STAG2	Excitatory_neuron	12	8	13	8	0.2874	PO28	0.75	STAG2-228	PASS	
STAG3L4	Excitatory_neuron	11	8	13	8	0.0983	PO05	0.8182	transcript87755.chr7.nic	PASS	
STAMBP	Excitatory_neuron	9	6	13	8	0.9704	SMC032	0.2222	STAMBP-223	FAIL	Jackknife 0.97 ≥ 0.5; Direction 0.22 < 0.6
STAMBPL1	Excitatory_neuron	9	8	13	8	0.5581	PO05	0.2222	STAMBPL1-201	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.22 < 0.6
STARD3NL	Excitatory_neuron	10	6	13	8	1.1777	SMC049	0.8	STARD3NL-201	FAIL	Jackknife 1.18 ≥ 0.5
STARD7	Excitatory_neuron	11	7	13	8	0.668	SMC049	0.6364	STARD7-204	FAIL	Jackknife 0.67 ≥ 0.5
STAT1	Excitatory_neuron	9	6	13	8	0.1241	PO41	0.7778	STAT1-201	PASS	
STAT2	Excitatory_neuron	10	6	13	8	0.4879	PO05	0.6	STAT2-225	PASS	
STAT3	Excitatory_neuron	11	7	13	8	0.7335	SMC036	0.4545	STAT3-247	FAIL	Jackknife 0.73 ≥ 0.5; Direction 0.45 < 0.6
STAT4	Excitatory_neuron	9	6	13	8	0.4152	SMC049	0.5556	STAT4-210	FAIL	Direction 0.56 < 0.6
STAT5B	Excitatory_neuron	9	6	13	8	0.6526	SMC038	0.4444	STAT5B-220	FAIL	Jackknife 0.65 ≥ 0.5; Direction 0.44 < 0.6
STAU1	Excitatory_neuron	11	6	13	8	0.3941	PO11	0.8182	STAU1-206	PASS	
STAU2	Excitatory_neuron	12	8	13	8	0.3442	PO28	0.4167	STAU2-201	FAIL	Direction 0.42 < 0.6
STEAP2	Excitatory_neuron	9	7	13	8	0.3296	PO28	0.5556	STEAP2-202	FAIL	Direction 0.56 < 0.6
STIL	Excitatory_neuron	5	5	13	8	0.292	PO05	0.8	STIL-203	PASS	
STK24	Excitatory_neuron	4	5	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=4/5, CT=5/4
STK25	Excitatory_neuron	12	8	13	8	0.559	SMC049	0.4167	STK25-201	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.42 < 0.6
STK36	Excitatory_neuron	8	6	13	8	0.9601	SMC049	0.375	STK36-202	FAIL	Jackknife 0.96 ≥ 0.5; Direction 0.38 < 0.6
STK4	Excitatory_neuron	11	7	13	8	0.1085	SMC049	0.8182	STK4-205	PASS	
STMN1	Excitatory_neuron	13	8	13	8	0.7388	SMC049	0.6923	STMN1-207	FAIL	Jackknife 0.74 ≥ 0.5
STN1	Excitatory_neuron	5	4	13	8	0.627	SMC038	0.6	STN1-202	FAIL	Jackknife 0.63 ≥ 0.5
STOML1	Excitatory_neuron	9	7	13	8	0.3093	SMC049	0.3333	STOML1-204	FAIL	Direction 0.33 < 0.6
STPG1	Excitatory_neuron	10	5	13	8	0.4645	SMC049	0.8	STPG1-206	PASS	
STRADA	Excitatory_neuron	10	7	13	8	0.7225	SMC032	0.2	STRADA-208	FAIL	Jackknife 0.72 ≥ 0.5; Direction 0.20 < 0.6
STRC	Excitatory_neuron	5	4	13	8	0.0825	SMC049	0.8	STRC-209	PASS	
STRN3	Excitatory_neuron	8	6	13	8	0.278	SMC032	0.625	STRN3-202	PASS	
STRN4	Excitatory_neuron	11	7	13	8	0.0348	PO28	0.8182	STRN4-208	PASS	
STT3A	Excitatory_neuron	5	6	13	8	0.0		1.0	STT3A-217	PASS	
STT3B	Excitatory_neuron	10	8	13	8	0.0691	SMC032	0.8	transcript47762.chr3.nic	PASS	
STX10	Excitatory_neuron	10	5	13	8	0.2315	SMC039	0.6	STX10-204	PASS	
STX16	Excitatory_neuron	13	8	13	8	0.8238	SMC043	0.5385	STX16-202	FAIL	Jackknife 0.82 ≥ 0.5; Direction 0.54 < 0.6
STX1A	Excitatory_neuron	12	8	13	8	0.3877	SMC049	0.5833	STX1A-201	FAIL	Direction 0.58 < 0.6
STX6	Excitatory_neuron	9	7	13	8	0.4214	SMC032	1.0	STX6-201	PASS	
STXBP1	Excitatory_neuron	11	8	13	8	0.0743	SMC049	0.7273	STXBP1-212	PASS	
STXBP5	Excitatory_neuron	11	7	13	8	0.1211	PO41	0.6364	STXBP5-206	PASS	
STXBP5-AS1	Excitatory_neuron	9	5	13	8	0.3267	SMC041	0.6667	STXBP5-AS1-249	PASS	
STXBP5L	Excitatory_neuron	13	8	13	8	0.5077	PO28	0.6154	STXBP5L-201	FAIL	Jackknife 0.51 ≥ 0.5
SUCLA2	Excitatory_neuron	11	8	13	8	0.814	SMC049	0.8182	SUCLA2-218	FAIL	Jackknife 0.81 ≥ 0.5
SUCO	Excitatory_neuron	7	5	13	8	0.8271	PO28	0.7143	SUCO-201	FAIL	Jackknife 0.83 ≥ 0.5
SUGP2	Excitatory_neuron	13	8	13	8	0.1231	PO41	0.9231	SUGP2-206	PASS	
SUGT1	Excitatory_neuron	11	8	13	8	0.4303	SMC049	0.6364	SUGT1-201	PASS	
SULF2	Excitatory_neuron	10	7	13	8	1.04	SMC041	0.8	transcript61194.chr20.nic	FAIL	Jackknife 1.04 ≥ 0.5
SULT4A1	Excitatory_neuron	12	7	13	8	1.2226	SMC049	0.0833	transcript56224.chr22.nnic	FAIL	Jackknife 1.22 ≥ 0.5; Direction 0.08 < 0.6
SUMF1	Excitatory_neuron	7	7	13	8	0.1278	SMC049	1.0	SUMF1-201	PASS	
SUMF2	Excitatory_neuron	9	5	13	8	0.4084	SMC038	0.4444	SUMF2-216	FAIL	Direction 0.44 < 0.6
SUN1	Excitatory_neuron	11	8	13	8	0.4302	SMC032	0.5455	SUN1-206	FAIL	Direction 0.55 < 0.6
SUOX	Excitatory_neuron	7	5	13	8	0.3503	SMC038	1.0	SUOX-201	PASS	
SUPT20H	Excitatory_neuron	12	7	13	8	0.95	SMC038	0.4167	SUPT20H-201	FAIL	Jackknife 0.95 ≥ 0.5; Direction 0.42 < 0.6
SUPT5H	Excitatory_neuron	11	8	13	8	0.2923	SMC039	0.5455	SUPT5H-201	FAIL	Direction 0.55 < 0.6
SUPT6H	Excitatory_neuron	13	7	13	8	0.1331	SMC049	0.8462	transcript41476.chr17.nic	PASS	
SUPT7L	Excitatory_neuron	12	8	13	8	1.2668	SMC049	0.4167	SUPT7L-204	FAIL	Jackknife 1.27 ≥ 0.5; Direction 0.42 < 0.6
SUPV3L1	Excitatory_neuron	11	8	13	8	0.6601	PO28	0.4545	SUPV3L1-201	FAIL	Jackknife 0.66 ≥ 0.5; Direction 0.45 < 0.6
SURF4	Excitatory_neuron	9	7	13	8	0.2711	SMC038	0.7778	SURF4-202	PASS	
SUSD4	Excitatory_neuron	8	6	13	8	0.3973	SMC049	0.75	SUSD4-202	PASS	
SUV39H1	Excitatory_neuron	6	5	13	8	1.3055	SMC038	0.5	SUV39H1-201	FAIL	Jackknife 1.31 ≥ 0.5; Direction 0.50 < 0.6
SUZ12	Excitatory_neuron	10	6	13	8	1.1413	SMC049	0.3	SUZ12-201	FAIL	Jackknife 1.14 ≥ 0.5; Direction 0.30 < 0.6
SVEP1	Excitatory_neuron	8	6	13	8	0.1108	PO41	0.875	SVEP1-202	PASS	
SVIL-AS1	Excitatory_neuron	11	8	13	8	0.9494	PO28	0.4545	SVIL-AS1-205	FAIL	Jackknife 0.95 ≥ 0.5; Direction 0.45 < 0.6
SWT1	Excitatory_neuron	10	7	13	8	0.1312	PO28	0.7	SWT1-201	PASS	
SYBU	Excitatory_neuron	11	7	13	8	0.2019	SMC038	0.5455	SYBU-207	FAIL	Direction 0.55 < 0.6
SYDE2	Excitatory_neuron	9	5	13	8	0.4853	SMC041	0.6667	SYDE2-203	PASS	
SYMPK	Excitatory_neuron	9	6	13	8	0.7471	SMC049	0.6667	SYMPK-202	FAIL	Jackknife 0.75 ≥ 0.5
SYN2	Excitatory_neuron	12	7	13	8	0.4582	PO28	0.8333	transcript19558.chr3.nnic	PASS	
SYNCRIP	Excitatory_neuron	10	6	13	8	0.3123	SMC032	0.5	SYNCRIP-222	FAIL	Direction 0.50 < 0.6
